"symbol_code","text_codes","primary_symbol_label","all_labels"
"127","h-","accidentalWyschnegradsky2TwelfthsFlat","accidentalWyschnegradsky2TwelfthsFlat"
"128","h","accidentalWyschnegradsky3TwelfthsFlat","accidentalWyschnegradsky3TwelfthsFlat"
"129","b=","accidentalWyschnegradsky4TwelfthsFlat","accidentalWyschnegradsky4TwelfthsFlat"
"130","b-","accidentalWyschnegradsky5TwelfthsFlat","accidentalWyschnegradsky5TwelfthsFlat"
"131","bh=","accidentalWyschnegradsky7TwelfthsFlat","accidentalWyschnegradsky7TwelfthsFlat"
"132","bh-","accidentalWyschnegradsky8TwelfthsFlat","accidentalWyschnegradsky8TwelfthsFlat"
"133","bh","accidentalWyschnegradsky9TwelfthsFlat","accidentalWyschnegradsky9TwelfthsFlat"
"134","bb=","accidentalWyschnegradsky10TwelfthsFlat","accidentalWyschnegradsky10TwelfthsFlat"
"135","bb-","accidentalWyschnegradsky11TwelfthsFlat","accidentalWyschnegradsky11TwelfthsFlat"
"136","","accidentalXenakisOneThirdToneSharp","accidentalXenakisOneThirdToneSharp"
"137","","accidentalXenakisTwoThirdTonesSharp","accidentalXenakisTwoThirdTonesSharp"
"138","","accidentalQuarterToneSharpBusotti","accidentalQuarterToneSharpBusotti"
"139","","accidentalSharpOneHorizontalStroke","accidentalSharpOneHorizontalStroke"
"140","","accidentalThreeQuarterTonesSharpBusotti","accidentalThreeQuarterTonesSharpBusotti"
"141","","accidentalQuarterToneSharpWiggle","accidentalQuarterToneSharpWiggle"
"142","","accidentalTavenerSharp","accidentalTavenerSharp"
"143","","accidentalTavenerFlat","accidentalTavenerFlat"
"144","","accidentalCommaSlashUp","accidentalCommaSlashUp"
"145","","accidentalCommaSlashDown","accidentalCommaSlashDown"
"146","","accidentalWilsonPlus","accidentalWilsonPlus"
"147","","accidentalWilsonMinus","accidentalWilsonMinus"
"148","","accidentalLargeDoubleSharp","accidentalLargeDoubleSharp"
"149","","accidentalQuarterToneSharp4","accidentalQuarterToneSharp4"
"150","","accidentalQuarterToneFlat4","accidentalQuarterToneFlat4"
"151","","accidentalSharpReversed","accidentalSharpReversed"
"152","","accidentalNaturalReversed","accidentalNaturalReversed"
"153","","accidentalFlatTurned","accidentalFlatTurned"
"154","","accidentalDoubleFlatReversed","accidentalDoubleFlatReversed"
"155","","accidentalDoubleFlatTurned","accidentalDoubleFlatTurned"
"156","","accidentalThreeQuarterTonesFlatTartini","accidentalThreeQuarterTonesFlatTartini"
"157","","accidentalQuarterToneFlatVanBlankenburg","accidentalQuarterToneFlatVanBlankenburg"
"158","","accidentalTwoThirdTonesSharpFerneyhough","accidentalTwoThirdTonesSharpFerneyhough"
"159","","accidentalOneThirdToneSharpFerneyhough","accidentalOneThirdToneSharpFerneyhough"
"160","","accidentalOneQuarterToneSharpFerneyhough","accidentalOneQuarterToneSharpFerneyhough"
"161","","accidentalOneQuarterToneFlatFerneyhough","accidentalOneQuarterToneFlatFerneyhough"
"162","","accidentalOneThirdToneFlatFerneyhough","accidentalOneThirdToneFlatFerneyhough"
"163","","accidentalTwoThirdTonesFlatFerneyhough","accidentalTwoThirdTonesFlatFerneyhough"
"164","/X\","accSagittalDoubleSharp","accSagittalDoubleSharp"
"165","/X)","accSagittalDoubleSharp5v7kDown","accSagittalDoubleSharp5v7kDown"
"166","X\","accSagittalDoubleSharp5CDown","accSagittalDoubleSharp5CDown"
"167","X)","accSagittalDoubleSharp7CDown","accSagittalDoubleSharp7CDown"
"168",")X(","accSagittalDoubleSharp25SDown","accSagittalDoubleSharp25SDown"
"169","(|||\","accSagittalSharp35LUp","accSagittalSharp35LUp"
"170","(|||)","accSagittalSharp11LUp","accSagittalSharp11LUp"
"171","/|||\","accSagittalSharp11MUp","accSagittalSharp11MUp"
"172","/|||)","accSagittalSharp35MUp","accSagittalSharp35MUp"
"173","=|||","accSagittalSharp25SUp","accSagittalSharp25SUp"
"174","|||)","accSagittalSharp7CUp","accSagittalSharp7CUp"
"175","/|||","accSagittalSharp5CUp","accSagittalSharp5CUp"
"176","|||(","accSagittalSharp5v7kUp","accSagittalSharp5v7kUp"
"177","/||\","accSagittalSharp","accSagittalSharp | SAGITTAL_SHARP"
"178","/||)","accSagittalSharp5v7kDown","accSagittalSharp5v7kDown | SAGITTAL_SHARP5V7KD"
"179","||\","accSagittalSharp5CDown","accSagittalSharp5CDown | SAGITTAL_SHARP5CD"
"180","||)","accSagittalSharp7CDown","accSagittalSharp7CDown | SAGITTAL_SHARP7CD"
"181",")||(","accSagittalSharp25SDown","accSagittalSharp25SDown | SAGITTAL_SHARP25SD"
"182","(|\","accSagittal35LargeDiesisUp","accSagittal35LargeDiesisUp | SAGITTAL_35LDU"
"183","(|)","accSagittal11LargeDiesisUp","accSagittal11LargeDiesisUp | SAGITTAL_11LDU"
"184","/|\","accSagittal11MediumDiesisUp","accSagittal11MediumDiesisUp | SAGITTAL_11MDU"
